neuronios,lr,seed,accuracy,precision,recall,f1,tempo
10,0.05,3,0.95625,0.9624257552483358,0.7675000000000001,0.8533979822993908,2.126806258399995
10,0.05,4,0.9558333333333332,0.9546505031257293,0.7725,0.8528945570836466,2.258433458399992
10,0.05,5,0.9570833333333333,0.946315991030423,0.7875,0.8588472074614959,2.1290665581999972
10,0.05,6,0.9541666666666666,0.9236430786294558,0.79,0.8511277769906724,2.1241190834000063
10,0.05,7,0.9541666666666666,0.9450596327016323,0.7699999999999999,0.8480777210380296,2.068205166599989
10,0.05,8,0.9575000000000001,0.9390052109746506,0.7975,0.8614580606222513,2.1696966338000037
10,0.05,9,0.9550000000000001,0.9361447214020743,0.7849999999999999,0.8528070278070278,2.170639716400012
10,0.05,10,0.9554166666666667,0.9316447076316525,0.7925,0.8554162620856903,1.9941110997999771
10,0.2,1,0.9629166666666666,0.9411066250522492,0.8300000000000001,0.8815394354394149,1.1138245752000102
10,0.2,2,0.9604166666666668,0.945945813771518,0.8099999999999999,0.8720392316331669,1.0574387
10,0.2,3,0.96,0.9351944784802555,0.8175000000000001,0.8712333244574625,1.1884311413999853
10,0.2,4,0.9658333333333335,0.9709949450985782,0.82,0.8884281941701258,1.3660669335999955
10,0.2,5,0.9625,0.9462791002688702,0.8225,0.8792168774048846,1.198756016799996
10,0.2,6,0.9629166666666669,0.9415147791678409,0.8300000000000001,0.881411780743578,1.2093354001999956
10,0.2,7,0.9616666666666667,0.9608754499332857,0.8025,0.8739013285565009,0.9671887582000067
10,0.2,8,0.9620833333333334,0.9457389421920517,0.82,0.8775160793452901,1.1085894583999902
10,0.2,9,0.9650000000000001,0.9602669082125604,0.825,0.8866188853818894,1.2397746918000052
10,0.2,10,0.9616666666666667,0.9590233339716244,0.805,0.8742031801934307,0.9641005332000191
10,0.5,1,0.9629166666666666,0.9442092221503987,0.8274999999999999,0.8809353528274247,0.6942999749999899
10,0.5,2,0.9645833333333333,0.9607119038984966,0.8225,0.8849509291694039,0.7843937084000003
